mapSize,dist,time,start,end
28407,17.6416412348,27.2501301765442,1652872721.65589,1652872748.90602
39450,20.9768578954,28.9701783657074,1652872853.76187,1652872882.73205
32406,20.0578965424,27.5999445915222,1652872968.70237,1652872996.30231
35017,22.1945978937,30.2899730205536,1652873094.21397,1652873124.50394
35310,19.0616468547,28.464857339859,1652873595.03619,1652873623.50105
32241,16.9568512154,26.0861699581146,1652873764.4064,1652873790.49257
38336,20.2178386451,30.6311528682709,1652873930.36933,1652873961.00049
38783,22.0247278542,33.3972754478455,1652874039.77214,1652874073.16941
39270,19.2816448624,28.298259973526,1652874156.50975,1652874184.80801
38422,20.0496216437,27.4581682682037,1652875099.41195,1652875126.87012
35307,23.9890187348,34.4529576301575,1652875423.33433,1652875457.78729
37662,21.1288094857,34.5879700183868,1652875513.60734,1652875548.19531
34653,18.5444400775,27.0618100166321,1652875640.80784,1652875667.86965
41245,22.3886472833,33.0660247802734,1652875769.19235,1652875802.25838
36830,20.7309357397,29.490113735199,1652875864.02424,1652875893.51436
32492,21.4524529272,31.7115032672882,1652875937.39092,1652875969.10243
39263,24.9086873883,37.550895690918,1652876014.32477,1652876051.87566
33446,22.3815325261,32.6312696933746,1652876093.92419,1652876126.55546
33619,20.8448343494,30.8229913711548,1652876164.16535,1652876194.98834
36673,19.7255246163,28.6626839637756,1652876238.80727,1652876267.46996
